URL,Product Name,Price (in ₹),Prodcut ratings,Number of reviews
www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),728,4.3 out of 5 stars,158
www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,F Gear Luxur Brown 25 liter Laptop Backpack (2404),980,4.4 out of 5 stars,"16,736"
www.amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),"1,149",4.4 out of 5 stars,239
www.amazon.in/F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch Bag","1,014",4.4 out of 5 stars,285
www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","1,099",4.3 out of 5 stars,"1,276"
www.amazon.in/F-Gear-Samurai-Black-Laptop-Backpack/dp/B071F2M8CW,F Gear Samurai 29 Ltrs Black Casual Backpack,"1,079",4.1 out of 5 stars,88
www.amazon.in/F-Gear-Sedna-Laptop-Backpack-Brown/dp/B072N83D9M,F Gear Sedna 27 Liters Laptop Backpack Sch Bag(Brown),"1,249",4.2 out of 5 stars,168
www.amazon.in/F-Gear-President-Brown-Laptop-Backpack/dp/B06XW7FSHF,F Gear President Brown 30 liter Laptop Backpack Sch Bag,"1,390",4.3 out of 5 stars,533
www.amazon.in/F-Gear-Carlton-Laptop-Backpack-Black/dp/B072R5Z149,F Gear Carlton V2 Leather 27 Liters Laptop Backpack Sch Bag(Black),"1,049",4.2 out of 5 stars,60
www.amazon.in/F-Gear-Tandrum-Leather-Laptop-Backpack/dp/B071GY723F,F Gear Tandrum V2 Leather 28 Liters Laptop Backpack Sch Bag(Black),"1,145",4.3 out of 5 stars,241
www.amazon.in/Gear-Firefly-Laptop-Rucksack-Liters/dp/B074DWN7NS,"F Gear Firefly V2 Laptop Rucksack 40 Liters (Navy blue, Yellow) Sch Bag","1,749",4.3 out of 5 stars,123
www.amazon.in/F-Gear-Samurai-Brown-Laptop-Backpack/dp/B071HNJXTF,F Gear Samurai Brown 30 liter Laptop Backpack Sch Bag,"1,079",4.5 out of 5 stars,75
www.amazon.in/F-Gear-Fortune-Backpack-Navy-Blue/dp/B07B7K7212,"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",884,4.1 out of 5 stars,497
www.amazon.in/F-Gear-Burner-Art-Black-Laptop-Backpack/dp/B085QX7J7R,F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),752,4.2 out of 5 stars,457
www.amazon.in/F-Gear-Bluechip%C2%A0Black-38-Ltrs-Laptop-Backpack/dp/B08Z83XFWB,F Gear Bluechip Black 30 Ltrs Laptop Backpack (3749),899,3.4 out of 5 stars,34
www.amazon.in/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),"1,049",4.1 out of 5 stars,35
www.amazon.in/F-Gear-CEO-Black-Laptop-Backpack/dp/B01N0TG2DH,F Gear CEO Black 25 liter Laptop Backpack,"1,160",4.4 out of 5 stars,663
www.amazon.in/F-Gear-Royal-Laptop-Backpack/dp/B00FXR0SQG,F Gear,599,4.1 out of 5 stars,830
www.amazon.in/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),"1,490",4.0 out of 5 stars,747
www.amazon.in/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7,F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),"1,023",4.2 out of 5 stars,100
www.amazon.in/F-Gear-Luxur-Black-Backpack/dp/B01F7AJ8MI,F Gear Luxur Black 25 liter Laptop Backpack,999,4.3 out of 5 stars,"4,994"
www.amazon.in/F-Gear-Luxur-Anti-Theft-Backpack-Brown/dp/B07BWD6797,F Gear Luxur Anti Theft 25 Liters Laptop Backpack (Brown),980,4.4 out of 5 stars,"1,868"
www.amazon.in/F-Gear-Bi-Frost-Executive-Backpack/dp/B06X9KNMS2,F Gear Bi Frost Executive Black 28 Liter Laptop Backpack (2540),"1,299",4.4 out of 5 stars,644
www.amazon.in/F-Gear-Talent-Laptop-Backpack-Grey/dp/B078KS2FX1,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",919,4.4 out of 5 stars,"1,124"
www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"1,370",4 Stars & Up,"10,947"
www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",529,3 Stars & Up,"4,037"
www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529.,2 Stars & Up,"15,936"
www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),529.,1 Star & Up,806
www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",529.,3.9 out of 5 stars,"2,038"
www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,529.,Previous page,"7,045"
www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,529.,Next page,"9,509"
www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,529.,Previous page,"1,279"
www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,499.",Next page,"5,602"
